"","route","date","rides"
"657","1001","11/2010",192
"658","1001","12/2010",1
"659","1001","01/2011",765
"660","1001","02/2011",377.75
"661","1001","03/2011",1
"662","1001","04/2011",250
"663","1001","05/2011",259
"664","1001","07/2011",164.25
"665","1001","08/2011",307
"666","1001","09/2011",85
"667","1001","10/2011",46
"668","1001","11/2011",2393
"669","1001","12/2011",18.5
"670","1001","01/2012",728
"671","1001","02/2012",1
"672","1001","03/2012",10154
"673","1001","05/2012",8.33333333333333
"674","1001","06/2012",3357.375
"675","1001","08/2012",3
"676","1001","09/2012",2935
"677","1001","10/2012",25
"678","1001","11/2012",2
"679","1001","01/2013",3.5
"680","1001","03/2013",3120.83333333333
"681","1001","04/2013",2775.16666666667
"682","1001","05/2013",5508.14285714286
"683","1001","06/2013",308
"684","1001","07/2013",140.142857142857
"685","1001","08/2013",4.15
"686","1001","09/2013",27.1666666666667
"687","1001","10/2013",32.8846153846154
"688","1001","11/2013",966.785714285714
"689","1001","12/2013",50.7037037037037
"690","1001","01/2014",31.5172413793103
"691","1001","02/2014",167.535714285714
"692","1001","03/2014",3459.63333333333
"693","1001","04/2014",294.535714285714
"694","1001","05/2014",341.4
"695","1001","06/2014",428.655172413793
"696","1001","07/2014",131.655172413793
"697","1001","08/2014",575.483870967742
"698","1001","09/2014",103.535714285714
"699","1001","10/2014",50
"700","1001","11/2014",79.0689655172414
"701","1001","12/2014",376.8
"702","1001","01/2015",90.9565217391304
"703","1001","02/2015",115
"704","1001","03/2015",123.178571428571
"705","1001","04/2015",324.148148148148
"706","1001","05/2015",1182.93548387097
"707","1001","06/2015",2356.13333333333
"708","1001","07/2015",2406.61290322581
"709","1001","08/2015",2613.16129032258
"710","1001","09/2015",2562.53333333333
"711","1001","10/2015",2465.1935483871
"712","1001","11/2015",73.0625
"713","1001","12/2015",418.652173913043
"714","1001","01/2016",5.26666666666667
"715","1001","02/2016",138.166666666667
"716","1001","03/2016",64
"717","1001","04/2016",612.814814814815
"718","1001","05/2016",646.833333333333
"719","1001","06/2016",170.758620689655
"720","1001","07/2016",124.615384615385
"721","1001","08/2016",208.48275862069
"722","1001","09/2016",80.2962962962963
"723","1001","10/2016",96.3548387096774
"724","1001","11/2016",116.37037037037
"725","1001","12/2016",51.0357142857143
"726","1001","01/2017",20.1071428571429
"727","1001","02/2017",172.185185185185
"728","1001","03/2017",149
"729","1001","04/2017",288.133333333333
"730","1001","05/2017",256.433333333333
"731","1001","06/2017",163.5
"732","1001","07/2017",283.785714285714
"733","1001","08/2017",313.354838709677
"734","1001","09/2017",167.133333333333
"735","1001","10/2017",92.2666666666667
"736","1001","11/2017",34.1379310344828
"737","1001","12/2017",44.5161290322581
"738","1002","03/2006",14828.6666666667
"739","1002","05/2006",11766.75
"740","1002","10/2006",3493
"741","1002","12/2006",646
"742","103","01/2001",3003.96774193548
"743","103","02/2001",3124.78571428571
"744","103","03/2001",3181.25806451613
"745","103","04/2001",2841.9
"746","103","05/2001",3160.41935483871
"747","103","06/2001",2952.86666666667
"748","103","07/2001",2877.09677419355
"749","103","08/2001",2882.87096774194
"750","103","09/2001",3218.96666666667
"751","103","10/2001",3340.06451612903
"752","103","11/2001",3192.7
"753","103","12/2001",2855.54838709677
"754","103","01/2002",2994.1935483871
"755","103","02/2002",3173.25
"756","103","03/2002",3033.32258064516
"757","103","04/2002",2981.63333333333
"758","103","05/2002",3139.54838709677
"759","103","06/2002",2800.6
"760","103","07/2002",2741.38709677419
"761","103","08/2002",2673.70967741935
"762","103","09/2002",3320.63333333333
"763","103","10/2002",3509.22580645161
"764","103","11/2002",3031.1
"765","103","12/2002",2840.29032258065
"766","103","01/2003",3036.32258064516
"767","103","02/2003",3060.57142857143
