"","Date","rides"
"855",2003-05-05,1001763
"856",2003-05-06,1004090
"857",2003-05-07,973392
"858",2003-05-08,980855
"859",2003-05-09,987558
"860",2003-05-10,574163
"861",2003-05-11,320305
"862",2003-05-12,953432
"863",2003-05-13,977329
"864",2003-05-14,907561
"865",2003-05-15,965028
"866",2003-05-16,994000
"867",2003-05-17,611646
"868",2003-05-18,399451
"869",2003-05-19,956926
"870",2003-05-20,963098
"871",2003-05-21,989650
"872",2003-05-22,964097
"873",2003-05-23,965523
"874",2003-05-24,589138
"875",2003-05-25,405886
"876",2003-05-26,378148
"877",2003-05-27,957458
"878",2003-05-28,908034
"879",2003-05-29,957881
"880",2003-05-30,984474
"881",2003-05-31,572417
"882",2003-06-01,418574
"883",2003-06-02,973205
"884",2003-06-03,986199
"885",2003-06-04,993572
"886",2003-06-05,988424
"887",2003-06-06,958385
"888",2003-06-07,631572
"889",2003-06-08,377890
"890",2003-06-09,982938
"891",2003-06-10,936133
"892",2003-06-11,955473
"893",2003-06-12,965256
"894",2003-06-13,970532
"895",2003-06-14,624974
"896",2003-06-15,417500
"897",2003-06-16,950780
"898",2003-06-17,961132
"899",2003-06-18,891161
"900",2003-06-19,942424
"901",2003-06-20,934113
"902",2003-06-21,606960
"903",2003-06-22,420326
"904",2003-06-23,849735
"905",2003-06-24,920690
"906",2003-06-25,837095
"907",2003-06-26,829509
"908",2003-06-27,887782
"909",2003-06-28,559986
"910",2003-06-29,416408
"911",2003-06-30,879822
"912",2003-07-01,953968
"913",2003-07-02,933321
"914",2003-07-03,975399
"915",2003-07-04,466495
"916",2003-07-05,547693
"917",2003-07-06,387388
"918",2003-07-07,848117
"919",2003-07-08,843738
"920",2003-07-09,868767
"921",2003-07-10,890754
"922",2003-07-11,905084
"923",2003-07-12,603681
"924",2003-07-13,418798
"925",2003-07-14,899997
"926",2003-07-15,869572
"927",2003-07-16,911454
"928",2003-07-17,859319
"929",2003-07-18,899161
"930",2003-07-19,616512
"931",2003-07-20,400490
"932",2003-07-21,879881
"933",2003-07-22,885849
"934",2003-07-23,903110
"935",2003-07-24,893875
"936",2003-07-25,900577
"937",2003-07-26,582246
"938",2003-07-27,363558
"939",2003-07-28,845162
"940",2003-07-29,899244
"941",2003-07-30,877376
"942",2003-07-31,886964
"943",2003-08-01,910078
"944",2003-08-02,675999
"945",2003-08-03,384521
"946",2003-08-04,915732
"947",2003-08-05,915340
"948",2003-08-06,880585
"949",2003-08-07,918324
"950",2003-08-08,899622
"951",2003-08-09,634973
"952",2003-08-10,415320
"953",2003-08-11,802399
"954",2003-08-12,861779
"955",2003-08-13,871448
"956",2003-08-14,850618
"957",2003-08-15,870525
"958",2003-08-16,624676
"959",2003-08-17,460105
"960",2003-08-18,818442
"961",2003-08-19,850290
"962",2003-08-20,834474
"963",2003-08-21,816508
"964",2003-08-22,862825
"965",2003-08-23,582506
"966",2003-08-24,405622
"967",2003-08-25,847302
"968",2003-08-26,833326
"969",2003-08-27,858319
"970",2003-08-28,854580
"971",2003-08-29,898634
"972",2003-08-30,619113
"973",2003-08-31,394957
"974",2003-09-01,324689
"975",2003-09-02,1023057
"976",2003-09-03,1055503
"977",2003-09-04,1035758
"978",2003-09-05,1041474
"979",2003-09-06,621628
"980",2003-09-07,419130
"981",2003-09-08,1024441
"982",2003-09-09,1028161
"983",2003-09-10,1016006
"984",2003-09-11,1014403
"985",2003-09-12,998765
"986",2003-09-13,598636
"987",2003-09-14,382128
"988",2003-09-15,1011896
"989",2003-09-16,1030531
"990",2003-09-17,1018929
"991",2003-09-18,1018360
"992",2003-09-19,1016854
"993",2003-09-20,614073
"994",2003-09-21,418632
"995",2003-09-22,988968
"996",2003-09-23,1018749
"997",2003-09-24,970548
"998",2003-09-25,1002980
"999",2003-09-26,933843
"1000",2003-09-27,586190
"1001",2003-09-28,373784
"1002",2003-09-29,997736
"1003",2003-09-30,997246
"1004",2003-10-01,1047017
"1005",2003-10-02,1012067
"1006",2003-10-03,995105
"1007",2003-10-04,646065
"1008",2003-10-05,424282
